edb0d7c,Sarah Johnston,12 days ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
de4ade7,Sarah Johnston,12 days ago,Mades courses link work
8131ba3,Harold Hodgins,12 days ago,Fixed bug in php upload.js. Should now upload all grades
c570006,Harold Hodgins,12 days ago,Updated python templates to not include all js files on every page
a1a1535,Harold Hodgins,12 days ago,Fixed bug in python_upload.js which kept valid grades from being submitted
832e66b,Harold Hodgins,12 days ago,Report page is now working
65fe5fe,Lucas Boulanger,12 days ago,Renamed variables to be in line with standards. Fixed bug where updated max grade was not being reflected on upload page.
ee840ee,Hind-Althabi,13 days ago, help doc. fix typo
a041cc7,Harold Hodgins,13 days ago,grade error checking working. No upload or report page yet
2563379,Harold Hodgins,13 days ago,error checking working
894be01,Harold Hodgins,13 days ago,grades submission from front end to backend working
8ed6a32,Harold Hodgins,13 days ago,File parse now handles empty file
cd4926b,Ben Douglas,2 weeks ago,forgot to add icon to php index
c29ccdf,Ben Douglas,2 weeks ago,Header updated design
a77d5b3,Lucas Boulanger,2 weeks ago,Fix of dumb mistakes
42b27b2,Lucas Boulanger,2 weeks ago,GradeItem.py - get_json() returns copy.
c9cb36c,Lucas Boulanger,2 weeks ago,removed old functions and fixed spelling error in grade_functions.py
95b47cc,Lucas Boulanger,2 weeks ago,Added comment to app.py
b2954f0,Sumeet Jhand,2 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
e4e62af,Sumeet Jhand,2 weeks ago,Added test_create_grade, test_get_grade, and test_get_grades to GradeItemTest.py. Fixed Course.get_member comparing IDs of different data types, fixed GradeItem imports.
9ada6d5,Troy Nechanicky,2 weeks ago,added (old?) update to user.get_courses
2247cc0,Troy Nechanicky,2 weeks ago,Revert "User.php Update". Commit introduced lots of bugs
0ab6e09,Troy Nechanicky,2 weeks ago,OrgMember.php: reverted bad change to User constructor
65db4e9,Hind-Althabi,2 weeks ago,last commit for help document
a8dd3f0,Hind-Althabi,2 weeks ago,Added more details to the Introduction,login page and reference links
695e626,Sumeet Jhand,2 weeks ago,Fixed GradeItemTest.py. Adapts to changes in grade item max.
fdd33fa,simonphothitay,2 weeks ago,Small updates for API.py comment blocks. Updated Course.py comment blocks to folow code standards.
4c6b39e,simonphothitay,2 weeks ago,Updated API.py and API.py comment blocks to follow coding standards and changed imports in GradeTest.py
4aa5125,Harold Hodgins,2 weeks ago,File upload is working. Still needs error checking of grades
4935058,Harold Hodgins,2 weeks ago,Updated php file parsing error messages to match csv format
334ccae,Harold Hodgins,2 weeks ago,All get_json now return copy of self._json
099eb1e,AndrewJChua,2 weeks ago,Revert "Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project"
11d7172,AndrewJChua,2 weeks ago,Revert "Added get_courses to API.php"
6556c89,AndrewJChua,2 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
acbc7c4,AndrewJChua,2 weeks ago,Added get_courses to API.php
e5f56c0,LucBoulanger,2 weeks ago,GradeItem.py - Made get_json() return copy of json, cause items ('Id' in particular giving grief) were getting deleted in API.put_grade_item()
c7bbd5c,Harold Hodgins,3 weeks ago,Python update gradeItem max now works. If unsucessful it resets the max to the old value
0764d71,Harold Hodgins,3 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
0d8b80a,Harold Hodgins,3 weeks ago,Update max now talks to backend. Actual API call fails though
4179441,AndrewJChua,3 weeks ago,User.php Update
4aba00f,AndrewJChua,3 weeks ago,Course.get_members update
b9d1400,Harold Hodgins,3 weeks ago,Updated app.py and available grades template to use /upload and pass courseId and gradeItemId as parameters
64b3111,Harold Hodgins,3 weeks ago,Upload page now looks correct and add students works. Still not talking to backend
2dfdd02,Harold Hodgins,3 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
fdd9a7b,Troy Nechanicky,3 weeks ago,courses.php: fixed to work with tile list. Added msg if no courses. available_grades.html: improved msgs and syntax
4b9c4c8,Harold Hodgins,3 weeks ago,Updated routes to use warning instead of error for logging not logged in humans
fcc942e,Harold Hodgins,3 weeks ago,Updated Error handling page to handle no user
d6e5ad4,Harold Hodgins,3 weeks ago,Updated User.get_course to not use id. Updated API.get to fix route problem
e68c421,Harold Hodgins,3 weeks ago,Updated put_grade and put_grade_item to use the internal json format
8985ed7,Harold Hodgins,3 weeks ago,Updated get_class_list to better handle exceptions
4620765,Harold Hodgins,3 weeks ago,Updated Course object and get_courses to die gracefully
9b87ae6,Harold Hodgins,3 weeks ago,Updated User to just pass exception forward properly and updated get_courses to properly handle errors
e5abf3c,Harold Hodgins,3 weeks ago,Updated available_grades template to display course names
9ee5aef,Harold Hodgins,3 weeks ago,Updated User object to raise exception if something goes wrong in get_courses or API.get_who_am_i
e358a9e,Harold Hodgins,3 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
9b1a106,Ben Douglas,3 weeks ago,New interface for course selection
c67207b,Troy Nechanicky,3 weeks ago,removed .DS_Store files and updated gitignore to hopefully prevent more from being uploaded
8e9637a,Troy Nechanicky,3 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
b7d11f9,Troy Nechanicky,3 weeks ago,design_wrapper: updated, along  with diagrams, to reflect changes made to python and php.
c5313c2,Hind-Althabi,3 weeks ago,create help document
35d4ffc,Harold Hodgins,3 weeks ago,Updated get_class_list to handle exceptions better
8d00ec2,Harold Hodgins,3 weeks ago,check_request now also reports what url failed
32167a3,Harold Hodgins,3 weeks ago,Updated Grade object to include common bits and use internal json format
ca784ee,Harold Hodgins,3 weeks ago,Updated wrapper objects to use correct attribute for internal json
e4a1dcc,Troy Nechanicky,3 weeks ago,fixed error in last design version
6f6a0fb,Troy Nechanicky,3 weeks ago,Design: added information about php and python changes (much to be done, waiting for second opinions). Fixed image sizing. Deleted old Sophie doc from bad commit
5a0e374,Harold Hodgins,3 weeks ago,Moved host so it only gets created once
0373eb8,Lucas Boulanger,3 weeks ago,app.py - reset all changes I made to modify_grade_max()
acef994,Lucas Boulanger,3 weeks ago,Upload.HTML - fixed routing in file upload button; app.py - changes to show_upload() and set_grades()
9846626,Harold Hodgins,3 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
59a0032,Lucas Boulanger,3 weeks ago,GradeItem.py - Fixed return statement on GradeItem.get_user()
12ec0b1,Harold Hodgins,3 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
5ca4763,Sumeet Jhand,3 weeks ago,Fixed dynamic search not switching back to name from ID when a letter is entered
327897b,Harold Hodgins,3 weeks ago,Updated upload.html to use dynamic_search.js
bd1d8e2,Harold Hodgins,3 weeks ago,OrgMember now returns a number as stated in the design
cae5ed7,Harold Hodgins,3 weeks ago,Removed error testing code
4d8d95f,Harold Hodgins,3 weeks ago,Update coding_standards.txt
a9a9eba,xyfke,3 weeks ago,Edit modify_grade_max function to use updated methods in grade_item
370ff10,simity,3 weeks ago,Fixed mistake within the design doc under section 3.4
82e3cc5,malthibeh,3 weeks ago,Edited Requirements doc
7bffa56,MarkKokan,3 weeks ago,Added temporary Grade object for testing, Added test_get_grade()
0d9c038,HarjodhSingh,3 weeks ago,coding_standards.txt, Added comment standards
e1a0f2e,lindazhang96,3 weeks ago,Corrected syntax error
